# quadratic response-hierarchy projection residual; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
2	0	0	0	0	0	1.0238075483864577382e-21	0	2.0255490600393313387e-22
2	0	1	5.937000714857668305e-22	0	3.8747175964768210479e-22	0	-1.187400142971533661e-21	0
2	0	2	0	-0.00025159474238270473911	0	1.0092748259678913616e-22	0	0.00025159474238270473911
2	0	3	-3.5200870368781391775e-23	0	-7.8356160247969848325e-05	0	2.3467246912520925891e-23	0
2	1	-3	0	0.00015878215568939973903	0	8.887627943053132338e-06	0	0.00010881731310728419838
2	1	-2	-4.5023729671866039004e-05	0	0.00017257069660138641982	0	4.126161862882719801e-05	0
2	1	-1	0	-0.00060321861077760718494	0	9.8696913616666185178e-05	0	-0.0011077403079385482118
2	1	0	1.2169403462540771211e-05	0	-2.4338806925081542422e-05	0	1.6035701915163802869e-22	0
2	1	1	0	-0.00060321861077760718494	0	9.8696913616666185178e-05	0	0.0011077403079385482118
2	1	2	-4.5023729671866039004e-05	0	0.00017257069660138641982	0	-4.126161862882719801e-05	0
2	1	3	0	0.00015878215568939973903	0	8.887627943053132338e-06	0	-0.00010881731310728419838
2	2	-3	-1.6689281449473392706e-05	0	3.1506345163834478047e-05	0	9.878042476240722996e-06	0
2	2	-2	0	-6.1322106933849233974e-21	0	4.2183425307064360996e-21	0	-1.9138681626784876739e-21
2	2	-1	-4.126161862882719801e-05	0	-4.5023729671866039004e-05	0	-0.00017257069660138641982	0
2	2	0	0	0.00025159474238270473911	0	-0.00025159474238270473911	0	8.0379326726832628024e-23
2	2	1	-4.126161862882719801e-05	0	-4.5023729671866039004e-05	0	0.00017257069660138641982	0
2	2	2	0	-3.7342259438841090491e-21	0	9.7755112969597145878e-22	0	2.7566748141881372141e-21
2	2	3	-1.6689281449473396095e-05	0	3.1506345163834478047e-05	0	-9.878042476240722996e-06	0
2	3	-3	0	0.00017344955312249162841	0	-7.6526693297290527282e-05	0	3.9106342117703898431e-05
2	3	-2	3.1506345163834484824e-05	0	-9.878042476240721302e-06	0	1.6689281449473399483e-05	0
2	3	-1	0	-0.00011328668877534171973	0	8.2803752029959111795e-05	0	2.1837878539193889156e-05
2	3	0	-6.1875887578658343214e-05	0	4.1250591719105557625e-05	0	-1.0400006312022872108e-23	0
2	3	1	0	-0.00011328668877534171973	0	8.2803752029959111795e-05	0	-2.1837878539193889156e-05
2	3	2	3.1506345163834484824e-05	0	-9.878042476240721302e-06	0	-1.6689281449473399483e-05	0
2	3	3	0	0.00017344955312249162841	0	-7.6526693297290527282e-05	0	-3.9106342117703905207e-05
3	-3	-3	-1.3386498184090824534e-21	0	5.1505233853757349138e-21	0	-6.4891732037848164267e-21	0
3	-3	-2	0	7.652669329729051373e-05	0	-3.9106342117703905207e-05	0	0.00017344955312249162841
3	-3	-1	-3.0566516921747829494e-05	0	-3.7211804291675394901e-05	0	1.9935862109782689444e-05	0
3	-3	0	0	2.7625918709726037557e-22	0	2.7625918709726037557e-22	0	-0.00012425416689800203069
3	-3	1	3.0566516921747829494e-05	0	3.7211804291675394901e-05	0	1.9935862109782689444e-05	0
3	-3	2	0	-7.6526693297290527282e-05	0	3.9106342117703898431e-05	0	0.00017344955312249162841
3	-3	3	-1.2455796567474509943e-21	0	-1.7167987347323556201e-21	0	-4.712190779849045318e-22	0
3	-2	-3	0	-3.9106342117703898431e-05	0	-0.00017344955312249162841	0	7.6526693297290527282e-05
3	-2	-2	9.878042476240721302e-06	0	-1.6689281449473402871e-05	0	3.1506345163834484824e-05	0
3	-2	-1	0	-0.00010881731310728419838	0	-0.00015878215568939971192	0	-8.8876279430531340321e-06
3	-2	0	2.8088008941823849765e-24	0	4.2132013412735772811e-24	0	-7.8356160247969848325e-05	0
3	-2	1	0	0.00010881731310728419838	0	0.00015878215568939973903	0	-8.887627943053132338e-06
3	-2	2	-9.878042476240721302e-06	0	1.6689281449473399483e-05	0	3.1506345163834478047e-05	0
3	-2	3	0	3.9106342117703898431e-05	0	0.00017344955312249162841	0	7.6526693297290527282e-05
3	-1	-3	3.7211804291675394901e-05	0	1.9935862109782689444e-05	0	3.0566516921747829494e-05	0
3	-1	-2	0	-8.2803752029959111795e-05	0	-2.1837878539193889156e-05	0	-0.00011328668877534171973
3	-1	-1	3.4189139620292914481e-05	0	8.1707730363801185256e-05	0	2.0859688497077588681e-05	0
3	-1	0	0	6.9754952350351652849e-24	0	2.0926485705105492916e-23	0	0.00025055740733291972022
3	-1	1	-3.4189139620292914481e-05	0	-8.1707730363801185256e-05	0	2.0859688497077588681e-05	0
3	-1	2	0	8.2803752029959111795e-05	0	2.1837878539193889156e-05	0	-0.00011328668877534171973
3	-1	3	-3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0	3.0566516921747829494e-05	0
3	0	-3	0	-3.9069704138918517753e-22	0	0.00012425416689800203069	0	-3.9069704138918517753e-22
3	0	-2	-4.1250591719105557625e-05	0	-6.156825367825892882e-23	0	-6.1875887578658343214e-05	0
3	0	-1	0	1.2387737911847820177e-23	0	0.00089451031378654898962	0	3.7163213735543454653e-23
3	0	0	0	0	2.1155378402616375425e-24	0	-0.000119652791935770622	0
3	0	1	0	-2.4700704691388650962e-23	0	-0.00089451031378654898962	0	7.4102114074165949949e-23
3	0	2	4.1250591719105557625e-05	0	8.1530160000619790339e-23	0	-6.1875887578658343214e-05	0
3	0	3	0	3.9957969902933002983e-23	0	-0.00012425416689800203069	0	-3.9957969902933002983e-23
3	1	-3	-3.7211804291675394901e-05	0	1.9935862109782689444e-05	0	-3.0566516921747829494e-05	0
3	1	-2	0	-8.2803752029959111795e-05	0	2.1837878539193889156e-05	0	-0.00011328668877534171973
3	1	-1	-3.4189139620292914481e-05	0	8.1707730363801185256e-05	0	-2.0859688497077588681e-05	0
3	1	0	0	-1.5833381390184130409e-23	0	4.7500144170552394165e-23	0	0.00025055740733291972022
3	1	1	3.4189139620292914481e-05	0	-8.1707730363801185256e-05	0	-2.0859688497077588681e-05	0
3	1	2	0	8.2803752029959111795e-05	0	-2.1837878539193889156e-05	0	-0.00011328668877534171973
3	1	3	3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0	-3.0566516921747829494e-05	0
3	2	-3	0	3.9106342117703891655e-05	0	-0.00017344955312249162841	0	-7.6526693297290527282e-05
3	2	-2	9.8780424762407196079e-06	0	1.6689281449473402871e-05	0	3.1506345163834484824e-05	0
3	2	-1	0	0.00010881731310728419838	0	-0.00015878215568939973903	0	8.8876279430531340321e-06
3	2	0	1.2793601346710278644e-23	0	-1.9190402020065417232e-23	0	-7.8356160247969848325e-05	0
3	2	1	0	-0.00010881731310728419838	0	0.00015878215568939973903	0	8.8876279430531340321e-06
3	2	2	-9.878042476240721302e-06	0	-1.6689281449473399483e-05	0	3.1506345163834484824e-05	0
3	2	3	0	-3.9106342117703898431e-05	0	0.00017344955312249162841	0	-7.6526693297290527282e-05
3	3	-3	1.4654481426599683841e-21	0	2.685842104894577096e-21	0	4.1512902475545456682e-21	0
3	3	-2	0	7.6526693297290527282e-05	0	3.9106342117703905207e-05	0	0.00017344955312249162841
3	3	-1	3.0566516921747829494e-05	0	-3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0
3	3	0	0	8.5086212911280315418e-24	0	-8.5086212911280315418e-24	0	-0.00012425416689800203069
3	3	1	-3.0566516921747829494e-05	0	3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0
3	3	2	0	-7.6526693297290527282e-05	0	-3.9106342117703898431e-05	0	0.00017344955312249162841
3	3	3	1.3526895449129717435e-22	0	-8.3980259345449244341e-22	0	7.0453363896319531608e-22	0
